,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-12-30,66.48309999999992,0.1584011097090967,0.13975621897944773,58.65758579025234,0.11879349579121244,49.85924577511463,6359.379630000001,6727.818782123704,8353.623120154596
2018-12-31,60.8427999999999,0.12731708950289167,0.13209763939802366,63.12734830608514,0.1419486662060043,67.83499640119015,6420.222430000002,6790.946130429789,8421.458116555787
2019-01-01,29.535399999999925,0.07931936926714811,0.14777012968388534,55.02375937415639,0.25576684984471515,95.23747209160307,6449.757830000001,6845.969889803946,8516.69558864739
2019-01-02,-8.733599999999967,-0.02457440908557562,-0.0006868350472015311,-0.24409712344864565,0.13045130418927417,46.36162384617332,6441.024230000002,6845.725792680498,8563.057212493562
2019-01-03,2.182900000000018,0.0075243380226732715,0.01610069757593302,4.671003965079323,0.11477623141430983,33.29795057044511,6443.207130000002,6850.3967966455775,8596.355163064007
2019-01-04,2.7649999999999864,0.009990111054626993,0.0006297320773845788,0.1742932770664162,0.19302084936098374,53.423094654782105,6445.972130000002,6850.571089922644,8649.778257718788
2019-01-05,31.05590000000001,0.12117176785480877,0.13668465173795513,35.03179784415681,0.27856130139453117,71.39428658286346,6477.028030000002,6885.602887766801,8721.172544301651
2019-01-06,33.06760000000003,0.11937770352180777,0.12030532122859096,33.324549919255446,0.42646960639117987,118.13199567643554,6510.0956300000025,6918.927437686057,8839.304539978088
2019-01-07,-36.602600000000024,-0.12749698696557832,-0.11383346528780552,-32.67999421561494,0.001864705625062097,0.5353308790765772,6473.493030000002,6886.247443470442,8839.839870857164
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,6473.493030000002,6886.247443470442,8839.839870857164
2019-01-09,-42.452799999999996,-0.17249045981420197,-0.18703203307100805,-46.031725476930674,-0.09123855596740771,-22.45534143131929,6431.040230000002,6840.215717993511,8817.384529425844
2019-01-10,-60.36990000000003,-0.24677197038567955,-0.26604304528284467,-65.08434492912268,-0.27275268424054705,-66.72578026831265,6370.670330000003,6775.131373064389,8750.658749157532
2019-01-11,10.978700000000003,0.0617070020447783,-0.15177915966821023,-14.781711648423126,-0.03187608800667392,-3.1043994605347702,6381.649030000002,6760.349661415966,8747.554349696997
2019-01-12,10.332300000000004,0.04624604221104445,0.0,0.0,0.0,0.0,6391.981330000002,6760.349661415966,8747.554349696997
2019-01-13,-8.664000000000044,-0.03271601861459916,0.0,0.0,0.0,0.0,6383.317330000003,6760.349661415966,8747.554349696997
2019-01-14,6.234199999999987,0.025352077164790154,-0.022358670495973385,-5.498106632445285,-0.2217643593244996,-54.53294260325514,6389.5515300000025,6754.85155478352,8693.021407093742
2019-01-15,-15.532299999999964,-0.06667004331408777,-0.07457063907497763,-17.37292312602304,-0.20916529188223223,-48.72980279609172,6374.019230000003,6737.478631657497,8644.29160429765
2019-01-16,25.917400000000015,0.12204464117536262,0.11171205320645257,23.723171618922265,-0.027923945513907637,-5.929929069333426,6399.936630000003,6761.20180327642,8638.361675228316
2019-01-17,16.950999999999965,0.10668259363756083,0.14246495578589202,22.63652750823638,0.4216910489157723,67.00329197522001,6416.887630000003,6783.838330784656,8705.364967203535
2019-01-18,14.26939999999999,0.06670331529884055,0.09888662125065582,21.15416223245255,0.19993136836195058,42.7699980866409,6431.157030000003,6804.992493017108,8748.134965290175
2019-01-19,99.25959999999998,0.44656234239673465,0.41797866736485567,92.90616649065656,0.6048676217160915,134.44689013018208,6530.416630000003,6897.898659507765,8882.581855420358
2019-01-20,14.111500000000007,0.05917106419021634,0.06355552415100964,15.15713451043976,-0.05384864436676038,-12.8421747247734,6544.528130000003,6913.055794018204,8869.739680695584
2019-01-21,13.383500000000026,0.046066238869806764,-0.0036876205240268106,-1.0713544342700942,0.5059869975205196,147.00303622474323,6557.911630000003,6911.9844395839345,9016.742716920327
2019-01-22,9.989900000000006,0.04524441968582216,0.03788969223263641,8.365987210427772,0.4873426434790477,107.60452466620852,6567.901530000003,6920.350426794363,9124.347241586536
2019-01-23,40.34790000000004,0.18486722314520665,0.35211291348598817,76.84984055222277,0.42448061781139457,92.64433807143742,6608.249430000003,6997.200267346586,9216.991579657973
2019-01-24,22.277000000000015,0.09992078820668282,0.061005393475412825,13.600945057005472,0.23418502197247823,52.210754419689316,6630.526430000003,7010.801212403591,9269.202334077663
2019-01-25,3.7691000000000088,0.017380962701784908,0.01721914751263363,3.734010020239131,0.07486651790150034,16.234969113279732,6634.295530000003,7014.53522242383,9285.437303190944
